id,source,target,date,time,amount,currency
,,,,,20.3614,
4528604d-b6c6-490a-9918-f5607d57e0c6,0232a7c4-4d94-4aba-a5c0-332122e9ee32,f825edcd-1c6a-4f2e-b348-5d688589b41b,01/01/2015,04:51:47,10.749,
c9504157-7d3f-4262-b1c9-81d1c53028f9,0ba4139e-cf66-4c36-a4dc-728b9ecd689a,b2dadf07-d8bd-4aa6-b315-93f04c343d13,01/01/2015,08:03:07,6.71559,
107309ef-3d07-47e2-9e6d-60f34ab257c9,6ad2cc05-232c-4716-8787-e681e753101e,158c513e-790f-4acc-a0fa-fc1460000707,01/01/2015,10:34:50,6.0903,
3369e647-2688-49ea-ad43-1567794c3d7d,966de528-60cc-4987-b158-79d8292989d5,3e222ed1-b606-4026-afb4-4730e5701c4d,01/01/2015,12:30:08,21.6855,
84199854-fb34-4217-86a2-6389c70da47e,48a8feb2-be22-4811-8ff8-abe46baedf89,f8093379-121c-41f4-88ce-4994e13c74d7,01/01/2015,14:23:38,1.98632,
9c60a6e5-4f80-4621-9aa9-0d8cc372fec1,7f85e94c-8d33-4260-bd75-1984f1a16d21,be5a9198-32e1-4922-a8bd-aa3825c75d26,01/01/2015,15:00:47,7.64001,
8eac18cc-bdf1-42ad-9623-ad10bca34168,c5502347-aeaa-49d9-a320-db8bb48ca74b,acc1545e-a58a-41bc-b5fa-9c5dc63d41b2,01/01/2015,20:47:47,13.0852,
72f9eb09-b0ef-4398-946d-869734374005,d90047e2-4718-41e1-8dbb-89bef6857e63,13a4aa2c-9924-44f2-a518-3241583c2116,01/02/2015,00:51:15,5.01207,
900b3972-2d61-4e5c-8383-c6a617e796e8,b2dadf07-d8bd-4aa6-b315-93f04c343d13,bfc991ac-c19f-4335-9c89-6c6540d993a2,01/02/2015,01:34:18,4.48813,
c06890b4-370e-4abf-94c1-20a71cdaa701,b4fe51c5-bc96-4260-aa78-5962e5088719,4ddccdcc-a012-4023-98c8-0498dc2ad3ac,01/02/2015,02:14:35,5.30346,
27773637-21ec-4fdb-859b-c7aa43fc144e,6d6876c8-7999-4479-b2b6-9b550c7614c2,c3ee686d-ed12-4875-99db-15bc02381976,01/02/2015,04:09:20,5.54545,
361c5e83-7372-4bde-b868-7b497a35ba16,4c74404f-5ff9-461b-b64d-8e51e8e79f46,be5a9198-32e1-4922-a8bd-aa3825c75d26,01/02/2015,10:18:46,24.7659,
f2c1ada8-5b81-459e-bc0d-098cfb835a62,7169244d-cd6d-4295-aab5-f708c312efce,39e27fa9-36ed-482c-bfd5-111745ec9e59,01/02/2015,14:34:43,0.844323,
d01b13c7-13d0-4ea0-b70d-b96c5582e330,01f25d08-c2c4-40dc-8ebe-62f4ec72210a,20adb4a0-c01a-4d3f-ab22-6bc02bfb0698,01/02/2015,14:54:42,2.94586,
1d427227-4eb1-49fb-a48b-dfc342a11b37,cab72e22-4a41-4bf8-a79f-6caddc6348cd,8e0fb1d2-09f5-4d6e-94e4-0f5f7d4065c5,01/02/2015,15:36:03,51.9778,
e9dedeb0-329e-4614-b1d3-341b1071b6dc,0d2b8a24-e9a8-4eb3-b9e7-db0c6aa9d5ed,1c4fa8d5-3dcd-4134-b528-350eee84d8c6,01/02/2015,15:46:48,1.71662,
f08feff9-ddd3-4510-bdd3-a7870c84318d,70b89677-bbb8-44a3-a035-92d085f7a19f,cb21dc0a-0057-4b34-b6cd-89f419f5e3c4,01/02/2015,17:16:49,2.69538,
80baa8e6-08a5-4bb9-8854-3a359dc01d0a,9a37289e-b1ea-47b3-bfcf-090fc7d4887b,8ef5e485-0566-4b7c-bd83-8555387634ca,01/02/2015,22:54:19,9.21912,
725a4f98-09fe-4b70-aacd-cf31fc4ff427,7fea04f5-8a07-4029-bd4b-59e2262cb67f,e09524cf-ce35-460f-b3c2-dc454c4e7265,01/02/2015,22:55:13,12.1243,
09571071-c18d-4379-b19c-4d01609d94a0,d7d4bf08-f5b5-4048-ae31-3adb813055bf,b341d3f9-6857-4681-a2f8-601815860803,01/02/2015,23:51:04,1.8047,
1153321b-3306-40cf-92ed-68cb1ec94863,13a4aa2c-9924-44f2-a518-3241583c2116,ecec69a4-6cb1-4f21-9c2e-5de94e9c3fb6,01/03/2015,01:09:02,23.6981,
5e698975-093a-40c0-8d9c-5b847bc582f2,d664a419-6fe1-4af7-be8e-3ab7b293070a,bd97a712-73de-4f83-9256-1a7e43101647,01/03/2015,02:34:34,24.2189,
8febfd42-f2c3-4701-9af5-ca8e48c84601,5527905f-7bde-4b65-8571-f5d67ec78dd3,be5a9198-32e1-4922-a8bd-aa3825c75d26,01/03/2015,04:51:40,3.58272,
33611ffc-00ae-4614-b1b7-90b4a4ced5cc,ee62cd89-3631-4117-acec-731f0c26b014,30d4474a-019d-4a83-8422-b7dfb6017978,01/03/2015,05:09:42,8.8302,
a4082772-59e2-4894-ab80-d1f746de58f2,a0ac0e7d-abe2-46be-8ea5-a226e1dafef5,e44dfddc-4945-41df-be4c-cad239819234,01/03/2015,05:27:16,1.31477,
eebd9120-8d8c-4ca0-8354-1fc562a52beb,557abeff-781f-4cad-bfa0-a6e059b79beb,25f55740-5dc0-4f44-9cea-fcb9ed5ada57,01/03/2015,13:06:21,23.8646,
418febbb-fd6a-47b2-9851-c8ed1190598e,9919faec-0bc6-41b5-9e0e-be803596eb38,9243793e-6367-4c38-945f-d80a652668c9,01/03/2015,13:30:57,4.0745,
eac988b3-6add-45cf-8b0c-c8e55b842b0b,4bc418b5-35fb-45b8-bccf-ed3927d5e1f2,868fff25-659a-493e-90bb-51d8c6af0f01,01/03/2015,14:29:05,4.07967,
40e72366-41e0-44b1-9f1a-0f6201529ce4,255abe69-b8ac-4099-b329-e0ce7734ee60,b8f238ea-0af7-453c-bf5f-2b1ef588138b,01/03/2015,14:34:51,40.2694,
89c90978-1627-4b66-b87b-e1952bba7a16,9e919bd1-5d83-4056-bea8-9c1500a51105,88caa0c0-e16b-4096-bb39-8e74f7e3dc10,01/03/2015,16:59:29,1.8211,
dd23b16d-70b4-49ce-8eea-2baada53d16d,56471f39-d024-4919-b788-8ca9b82198a7,3d782036-b211-44df-9e4d-f1ecb98ddfbe,01/03/2015,17:34:33,3.32128,
2b1e53b3-e87f-4f9c-9635-6b1846667924,46093bba-b3a2-48c7-acbe-d318d5dadeb3,1483d9e5-73ef-49ea-83ee-22b58b3225c7,01/03/2015,18:00:01,1.51379,
73749306-7239-4b29-80de-a053a29a0db7,4c231d3f-2fee-4a68-9cd2-e6c717db9a7d,a1a53c61-32e0-454f-9db0-70d03c0b869c,01/03/2015,18:58:32,15.4361,
af8859ec-0bcb-4bb6-8a0f-70a4e5769155,c4770880-3439-4a44-88d0-44b000fec2c5,4ef4a967-3ef0-4c07-a87b-0c73aad263ff,01/04/2015,02:15:38,6.80943,
d330a26f-cf48-449a-a525-a7ddea42cb6c,2ac394bc-c1e1-4e57-b849-3fdfa769bdcd,86771424-2d2e-4e8b-87ea-6aad9eb6bf6d,01/04/2015,02:44:49,28.7793,
58953581-de69-44d7-b4a8-8631d1b85e94,fdfe9eb4-1643-4ca7-b136-029718163641,0577618a-5ef2-4084-9312-8caba4eed99e,01/04/2015,05:27:03,4.96455,
7a454051-cbba-4aff-a0bd-6a9535fe9b40,ec4cfb9a-641d-4af3-a18f-3c26bed31ad8,180b30c2-a2ce-4f9f-863a-cc2de6f4191a,01/04/2015,06:26:15,23.8738,
c1862498-0dfb-4585-85f5-1598b197225d,ad964847-eecb-4e52-95fc-a3d05a6bc3f7,d8fc4ee4-ed0c-4d42-923b-75fdfaafc8b7,01/04/2015,08:38:10,14.2628,
2c5a7cd4-2180-4456-9dd2-8b5c51db2ca5,66ba8ee4-ed76-49eb-9b56-f3ec24f0133c,400cc33f-8389-4eb5-9a30-7a6052499374,01/04/2015,10:18:03,4.52648,
b4430389-19e1-47c1-ad24-90173158bcce,98fdf8fb-ec37-42ed-a890-d862ef93e7bb,96bed2a8-a4d5-49d4-acc0-d168d0a9a6e2,01/04/2015,14:51:13,12.0751,
6a3becdc-c194-44f9-bf0a-26f0f8bcc2dd,9aab82c0-aa87-4c2b-b0d0-b5bdd9830d3e,d2a81efe-91aa-49ae-be0f-cc0a2e9a53fa,01/04/2015,14:59:29,7.57178,
ffcb9a02-1be3-4cd9-bc17-27e1b6d7e6e3,650c50e7-6b10-47e0-a9ab-26db5e14a8aa,536f5e80-007a-4975-ab64-0512ff089162,01/04/2015,18:13:10,3.19363,
